Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,Coined.Word,Sender_Name,Sender_Title,Closing_Remarks,Sender_Email ,Logo,To,Label
 Vital Info   ,"Hello,Ê Please refer to the vital info I've shared with you using Google Drive.Ê ClickÊhttps://www.google.com/drive/docs/file0116Êand sign in to view details..","May 23, 2016Ê",2:56 PM,Mon,http://example.com/PHISHING_TEST/row17,vital,Y,,  Rgeard ,na,na,b,1
bCourses Phish Attack,"Dear User,

This message is to inform you that your access to bCourses will soon
expire.  You will have to log in to your account to continue to have access
to this service.

You need to reactivate it just by logging in through the following URL.  A
a successful login will activate your account, and you will be redirected to
your bCourses page.

http://bcourses.berkeley.cnea.gq/login_0DZbL4B22o0ki22F0IZotK2LqgZijDXvfIrGID3D4cemh3lPfYHa62pNgFo4Oh4B40FO4WFMGuwEM8fb8yNE7xdTJSMBNYpeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jXm/

If you are not able to login, please contact Mary Patel at mpatel@berkeley.edu(link sends e-mail) for immediate
assistance.",5/20/16,na,na,URL,"expire, access, ",Y,"Berkeley Security
University of California, Berkeley
510-643-6927",Sincerely  ,mpatel@berkeley.edu,na,B,0
Your account has been Iimited untiI we hear from you,"your account has been suspened , as an error was detected in your informations. The reason for the error is not certain, but for secuirty reasons, we have suspended your account temporarily.",3/22/16,4:14 PM,na,Update your information,suspended,Y,na,na,Acces@up.com,paypal,NB,0
,"Hello Everyone,
 
  There will be additional IT maintenance today between 10am Ð 11am. During this time, some IT systems and applications used by the IRC globally may be affected, and you may experience brief outages. Please upgrade your mailboxes (size to 20.0GB). by clicking IT SYSTEM AND MAINTENANCE.",3/14/2016Ê,7:35 AM,na,IT SYSTEM AND MAINTENANCE.,notice,Y,na,na,Ashley.Mathew@rescue.org,,NB,0
Last Reminder You Must Update Your Apple Account Information!,"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",3/13/16,01:32,na, Verify Now ,"missing, incorrect,last remider",Y,na,na,Appel@Support.Com,,NB,0
Help DeskÛÜ Notice.,"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",03/04/2016,4:00 PM,na,Click Here ,,Y,Help DeskÛÜ,na,jjdoe@capousd.org,,NB,0
Google Docs Download,You have a pending incoming download docs shared with you via Google docs,2/22/2016Ê,5:45 AM,na,http://example.com/PHISHING_TEST/row23,Download,na,na,na,Google@Googledocss.com,Google Docs,bn,1
2015 W-2 statement,"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.","Feb 22, 2016Ê",8:17 AM,Mon,na,"Tax, attachment",Y,na,Regards.,,na,B,0
Your access has been disabled,,2/21/16,4:33 PM,,http://example.com/PHISHING_TEST/row25,"disable account access, termination, ",Y,,"Sincerely,",no_reply@appsupport.com,na,NB,1
Dear Email User,"Your password will expire in 2 days, Click Here
to re-change your password immediately.",02/09/2016,5:38 PM,,http://example.com/PHISHING_TEST/row26,"expire, password, immidiately",Y,"
IT- Help Desk","Thank you,
",jdoe@seedschoolmd.org,NA,NB,1
Help Desk / Password Update,Password will expire in 2 days ÊClick HereÊTo Validate E-mail,02/02/2016,5:01 AM,,,1,Y,IT-Service Help Desk,"Thank you,
",   John.doe@medford.k12o.r.us   ,na,Nb,corrupt_val
Record Update,"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ", 1/18/2016 ,1:57 PM,,UpdateÊ,"update, urgent,employment",Y,,Thank you,records@dol.gov,Department of Labor,NB,0
Important Update,"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",,2:58 PM,,,,Y,IRS Service,na,irs@services.com,na,NB,1
DHL EXPRESS DOCUMENT,"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",1/15/2016Ê,6:47 AM,,DHL_EXPRESS.pdf (34Kb) View | Download,,Y,DHL EXPRESS,na,office@korloycompany.ro,na,NB,0
IMPORTANT TAX RETURN DOCUMENT AVAILABLE,"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",01/06/2016,5:53:32 AM,,http://example.com/PHISHING_TEST/row31,"TAX, W2, important",na,,na,,na,NB,1
"Re:
X-PHP-Originating-Script: 1336:NPS.php","Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",,,Sat,URL,research,Y,Department of Civil and Environmental Engineering University of Alberta,Thanks for you Cooperation in Advance.,john.doe@ulberta.ca,na,NB,0
Your account on the verge of closure !!,"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.", 1/1/2016 ,5:47 AM,na,check my account,"fraudulent, transaction",Y,na,na,SUPPORT@PPL.COM,Pay.service secure,NB,0
ÊURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",12/10/2015,7:22 AM,"   hTu,   ",URL,URGENT,,"Human Resources
University of California, Berkeley",Faithfully, HR@berkeley.edu,na,NB,0
REQUEST,,"july 16th, 2019",5.22.48PM EDT,na,http://example.com/PHISHING_TEST/row35,"Request, gift card",Y,na,na,na,na,B,1
Lesson Coach Needed,Some hiring stuffs for coach,"July 16th, 2019",12.50pm,Tue,http://example.com/PHISHING_TEST/row36,"Needed, employment hire",Y,Colman,Regard,Y,na,B,1
"Caller from Kent Admin on 16 July, 2019",call missed,"July 16th, 2019",5.12pm,Tue,http://example.com/PHISHING_TEST/row37,hiring,Y,Kent support,Regrads,Y,Microsoft,B,1
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information","July 14th, 2019",11.33am,sun,http://example.com/PHISHING_TEST/row38,important,na,,Regards,Y,Na,B,1
V M 123310719,call missed,"July 10th, 2019",3.29pm,,http://example.com/PHISHING_TEST/row39,missed call,na,na,na,Y,"Microsoft, Office 365",B,1
 inviting you to collaborate on filess ,some shred document,"July 10th, 2019",7.56pm,wed,http://example.com/PHISHING_TEST/row40,shared,na,na,na,na,Microsoft,B,1
VM Message attached,call missed,"July 9th, 2019",12.37pm,TUE,http://example.com/PHISHING_TEST/row41,missed call,na,na,na,na,Office 365,B,1
ÊVerification Process.,"account verification, microsoft account in kent","July 8th, 2019",8.55am,mon,http://example.com/PHISHING_TEST/row42,"verification, access",Y,na,Cheers,Y,na,B,1
Audio received,audio,07/08/2019,2.09 pm,mon,http://example.com/PHISHING_TEST/row43,audio,,kent support,na,na,na,,1
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin,"ÊJuly 5th, 2019",3.18PM,Fri,http://example.com/PHISHING_TEST/row44,support,Y,na,na,na,na,B,1
,shared docx,"June 27th, 2019",11.55.54 AM,na,http://example.com/PHISHING_TEST/row45,shared,na,na,NA,na,microsoft word,B,1
fILE HAS BEEN DAMAGED,shared docx,"june 27th, 2019",4.56am,thur,http://example.com/PHISHING_TEST/row46,damaged,Y,na,na,na,Google Drive,B,1
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account","June 25th, 2019",1.44am,tue,http://example.com/PHISHING_TEST/row47,confirm,Y,na,na,na,Microsoft,B,1
Faculty Evaluation.docx,  faculty evalutaion  ,,10.49am,tue,http://example.com/PHISHING_TEST/row48,evaluation,Y,ITS service,na,na,microsoft ward,,1
Missed Call,called missed,"ÊJune 21st, 2019",  15.4pm ,fri,http://example.com/PHISHING_TEST/row49,na,na,na,na,na,na,B,1
TESTi1,"english speaking editor, professional guide, correcting","   JUNE 20, 2019   ",,na,,"editor, service",Y,na,"Best Regards,",na,na,NB,1
ÊClustered Alert ID 130423046,some pending message,"June 20th, 2019",,thur,http://example.com/PHISHING_TEST/row51,,Y,na,"Best Regards,",Y,  microosft   ,B,1
Approved Job Offer,selected for shadow shopper review,"June 20th, 2019",11.39am,thur,http://example.com/PHISHING_TEST/row52,"approve, offer, ",Y,na,Warm Regards,na,shadowshopper,B,N/A
"Agriculture Department shared ""Document"" with you.",internal dept shared document,"ÊJune 20th, 2019",10.24.01 am,thur,http://example.com/PHISHING_TEST/row53,"shared, document",Y,na,na,na,,B,1
Advertise While Driving Your Car,job opportuniies and looking for candidate,"June 19th, 2019",1.27pm,wed,http://example.com/PHISHING_TEST/row54,"hiring, ",na,      n a    ,na,na,na,B,1
Payroll Changes made was successful,chnages in payroll information,"ÊJune 17th, 2019",4.19pm,mon,http://example.com/PHISHING_TEST/row55,"payroll, changes, access, authenticated",na,na,Thank you,na,na,B,1
 Office 6/17/2019 11:65:18 AM ,office 465 subscription exrired and. Validation stuff,"June 17Th, 2019",5.57Am,mon,http://example.com/PHISHING_TEST/row56,"expire, request,subscritption, validation",Y,na,na,na,Office 365,B,1
 office 365 password about to expire,office 465 subscription exrired and. Validation stuff,"June 17th, 2019",8.08pm,mon,http://example.com/PHISHING_TEST/row57,"expire, password, subscription, hold",Y,office 365 Customer Service,Thank you,Y,offcie 365,B,1
Information.docx,file has been shared In docx,"June 17th, 2019",11.50am,mon,http://example.com/PHISHING_TEST/row58,"file, share,docx",Y,na,na,na,docx,B,1
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit","ÊJune 17th, 2019",3.11pm,mon,http://example.com/PHISHING_TEST/row59,"profit, bank, dollar, million, confirmation",Y,na,thank with my best regards,na,na,B,1
ÊYou have (15) notification message from your faculty admin,notification message from faculty admin," june 14ht, 2019  ",11.59am,   fri  ,http://example.com/PHISHING_TEST/row60,"notification, admin, faculty",,Y,Thanks,Y,na,B,1
 Verification Required: Validate Service Request for Kent,email update required and confirm now,"June 13Th, 2019",1.06pm,thur,http://example.com/PHISHING_TEST/row61,"update, required, confirm, disable, suspense, ",Y,Y,Thanks,Y,offcie 365,B,1
"Account Activity Request on 13 June, 2019",ms account activation and validation ,"JUNE 13TH, 2019",12.50pm,thur,   http://example.com/PHISHING_ETST/row62   ,"activation, validate, immidiate, request",Y,,Regrads,Y,microsoft,  B  ,1
Audio_Message from ext. 4783,audio,"June 12th, 2019",11.16AM,wed,http://example.com/PHISHING_TEST/row63,na,Y,Y,na,y,na,B,1
KENT.EDU EMAIL DEACTIVATION REQUEST,Made Request To Deactivate Your Account ,"June 11th, 2019",10.50om,tue,http://example.com/PHISHING_TEST/row64,"deactivate,request",Y,Y,Thanking you,Y,na,B,1
Êmissed Call,caller left a message for you,"June 11th, 2019",1.12 PM,tue,http://example.com/PHISHING_TEST/row65,message,na,na,na,na,na,B,1
,money for cancer diagnosied,"June 11th, 2019",8.35am,tue,http://example.com/PHISHING_TEST/row66,,na,na,na,na,na,,1
please update ppayment,"update payment  and payment declined, ","June 10th, 2019",8.50am,mon,http://example.com/PHISHING_TEST/row67,"decline, update, payment, failed",Y,   Y  ,S.incerely,,na,B,1
Work Code of Conduct,work conduct for employee in an institution,"JUNE 3RD, 2019",7.36pm,mon,,"HR, code, employment",Y,Y,"Regards,",Y,,B,1
Incoming Email issues,,,7.48am,mon,,"issues, email, account,recover, hold",y,y,sincerely,Y,Office365,B,1
ÊYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ","June 2nd, 2019",8.39.55am EDT,,http://example.com/PHISHING_TEST/row70,"transaction, payment, account",Y,Y,na,Y,PayPal,B,1
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly","May 29th, 2019",5.53 pm,wed,http://example.com/PHISHING_TEST/row71,"needed, ad, ", Y ,Y,"Thanks,",,na,B,1
lncoming emails rejected,offi e 365 was unable to deliver ,,1.34pm,fri,http://example.com/PHISHING_TEST/row72,"rejected, unable,",Y,Y,na,Y,na,B,N/A
Update ID: Review Message,need to validate account ,"ÊMay 23rd, 2019",,,http://example.com/PHISHING_TEST/row73,"   validate, requestu,pdate   ",Y,Y,na,Y,na,B,1
We Need Your Confirmation,fund in office that we like to make some clarification,"May 22nd, 2019",7.42.13 am,wed,http://example.com/PHISHING_TEST/row74,"confirmation, ",Y,Y,Yours in Servic,Y,na,B,1
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,"May 22nd, 2019",8.36 am,wed,http://example.com/PHISHING_TEST/row75,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,Y,na,Y,na,B,1
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,"May 21st, 2019",3.30pm,tue,http://example.com/PHISHING_TEST/row76,shared,Y,Y,"Thank you,",Y,Docx,B,1
Employment Opportunity,,,8.17pm,mon,http://example.com/PHISHING_TEST/row77,"employment, immidiately",Y,Y,,Y,na,B,1
Puppy Sitter:,need puppy sitter ,"ÊMay 16th, 2019", 7.47ma ,thur,HTTP://EXAMPLE.COM/PHISHING_TEST/ROW78,"employment, ",Y,Y,na,Y,na,B,1
Payment receipt,remittance advice for payment ,,12.20pm,thur,http://example.com/PHISHING_TEST/row79,payment,Y,Y,na,Y,na,B,1
   ÊBusiness/Partnreship   ,deal and interest in business,"May 10th, 2019",1.13am,fri,http://example.com/PHISHING_TEST/row80,benefits,Y,Y,Sincerely,Y,na,B,1
SCAN5655,shared file,"ÊMay 9th, 2019",12.00pm,thur,http://example.com/PHISHING_TEST/row81,share,Y,Y,na,Y,na,B,1
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,"May 8th, 2019",9.04pm,wed,http://example.com/PHISHING_TEST/row82,"failed, subscription, payment,admin, update,remove,request",Y,Y,Regards,,na,B,1
ÊFW: Action Required: Update your payment information now,payment declined for office 365,"May 8th, 2019",7.52pm,,,"UPDATE, DECLINED, PAYMENT, ",na,na,"Sincerely,",na,na,B,1
Due Invoice 10355697 From Cortland Line Company,,"May 6th, 2019",12.04 pm,,http://example.com/PHISHING_TEST/row84,"invoice, payment",Y,Y,na,na,na,B,1
,"donating, lottery winner","May 4th, 2019",1.30 am,na,http://example.com/PHISHING_TEST/row85,"pay, money",Y,Y,na,Y,na,B,1
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,"May 3rd, 2019",6.09PM,Fri,http://example.com/PHISHING_TEST/row86,"verificationerror, violates, ",Y,,"Sincerely,",Y,na,B,1
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account","ÊMay 3rd, 2019",6.39PM,fri,http://example.com/PHISHING_TEST/row87,"validate, required, upgrade, ",,,Thanks,Y,na,B,1
Remittance Payment Advice,attched payment details,"May 2nd, 2019",12.42pm,thur,http://example.com/PHISHING_TEST/row88,payment,na,Na,Regards,na,NA,B,1
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,"May 2nd, 2019",11.15.53AM,thur,http://example.com/PHISHING_TEST/row89,"project, education",na,na,Thanks,Na,Microsoft,B,1
Project LR342 Quote Request,"project work share, collaboration","ÊMay 1st, 2019",7.14am,wed,http://example.com/PHISHING_TEST/row90,"peoject, education, request",na,na,na,na,na,B,1
ÊPet Sitter Job,job pet sitter,,11.53am,wed,http://example.com/PHISHING_TEST/row91,employment,na,na,na,na,na,B,1
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate","ÊMay 1st, 2019",03.00am,,http://example.com/PHISHING_TEST/row92,"security, validate, request",Y,Y,Regards,Y,Microsofr,B,1
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,"April 30th, 2019",5.12.30pm,tue,http://example.com/PHISHING_TEST/row93,"LIMITED, VALIDATE, ACCOUNT,FAILED,TRANSACTION",Y,Y,"Best Regards,",Y,office 365,B,1
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,"APRIL 29TH, 2019",12.03pm,mon,http://example.com/PHISHING_TEST/row94,"payment,account, confidential",Y,Y,"Respectfully yours,",Y,na,B,1
Message - Time 0:55 Seconds,ausio attached with link,"ÊApril 26th, 2019",1.23,fri,http://example.com/PHISHING_TEST/row95,na,Y,Y,na,Y,na,B,1
ÊKent Admin #O38A3S#,mandatory account review process,"April 26th, 2019",2.37pm,Fri,http://example.com/PHISHING_TEST/row96,"mandatory, acount, require, admin, incorrect",Y,Y,na,Y,Microsoft,B,1
Invoice For Service,invoiced for completed work,"ÊApril 26th, 2019",12.00pm,Fri,http://example.com/phishing_test/row97,"invoice, payment",Y,Y,na,Y,na,B,1
P_nd_ng Document,onedrive pending doc,"ÊApril 25th, 2019",10.20am,thur,http://example.com/PHISHING_TEST/row98,document,Y,Y,na,Y,na,B,1
Ê[IMPORTANCE] Login Review Required On Kent Email Account,,"ÊApril 25th, 2019",10.15.29am EDT,na,,"verify, account,interruption",Y,Y,na,Y,Microsoft,B,1
ÊPaperWorks,document sharepoint,"April 23rd, 2019",2.41pm,tue,http://example.com/PHISHING_TEST/row100,"share, education, ",Y,Y,"SINCERELY,",na,sSharePoint,B,1
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ","ÊApril 23rd, 2019",10.57am,Tue,http://example.com/PHISHING_TEST/row101,"validate, request,",Y,Y,na,Y,microsoft,B,1
RE: You're about to lose access to your Office subscription,subscription offcie 365,,2.03am edt,na,HTTP://EXAMPLE.COM/phishing_test/ROW102,"subscription, disable, access, admin, payment",Y,Y,na,Y,Office365,B,1
(1) Failed to process your Credit Card,credir card process failure,"April 17th, 2019",5.56pm,wed,http://example.com/PHISHING_TEST/row103,"finance, payment, transaction, invoice, failed, ",Y,Y,"Best Regards,",Y,offcie 365,B,1
Easiest way to claim $1000?,clain money by watching videos,"April 17th, 2019",12.47pm EDT,na,http://example.com/PHISHING_TEST/row104,"clain, money, ",,,,,,,1
the dwyer group n0tlflcatl0n,shared document,"April 16th, 2019",11.55am,tue,http://example.com/PHISHING_TEST/row105,"notification, share",   Y ,Y,na,Y,na,B,1
,doc shared,"April 16th, 2019",12.52pm,tue,http://example.com/PHISHING_TEST/row106,"SHARE, DOC, EDUCATION",Y,Y,na,Y,Microsoft,B,1
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,,3.22pm,tue,http://example.com/PHISHING_TEST/row107,"share, validate, account, deactivate",Y,y,na,   Y   ,na,B,1
ÊKent Request Created,validating email account,"April 16th, 2019",4.23am,,http://example.com/PHISHING_TEST/row108,"validate, account, request",Y,Y,na,Y,na,B,1
NEED URGENT QUOTE,cargo need to shio from your country to china asap,"  April 15th, 2019",5.10am,mon,http://example.com/PHISHING_TEST/row109,urgent,na,na,na,na,na,B,1
Payroll,attached document for payroll,"ÊAPRIL 11TH, 2019",7.17pm,thur,http://example.com/PHISHING_TEST/row110,"tax, payroll, doc",Y,Y,na,Y,na,b,1
ÊCoaching service,coaching service available ,"April 10th, 2019",11.30am,wed,na,service,Y,Y,THANKS,Y,na,,11
MESSAGE ALERT,doc and audio ,"April 10th, 2019",10.22am,wed,http://example.com/PHISHING_TEST/row112,"doc, share, alert",Y,Y,na,Y,SharePoint,B,1
A document has been sent to you via eÄ_x Online,,"April 9th, 2019",11.35am,tue,http://example.com/PHISHING_TEST/row113,"share, sent, access, document",na,na,Na,na,eFax,,1
,encrypted message,"April 9th, 2019",2.28pm,tue,http://example.com/PHISHING_TEST/row114,encrypted,na,na,na,na,na,,1
Server Notification for Kent Alert,  servre detect undelivered emals. Malfucntions and termination ,"April 8th, 2019",5.55am,mon,http://example.com/PHISHING_TEST/row115,"active, termination, alert, notification, required, malfunction",Y,Y,na,Y,na,B,1
message notification,pdf ,"April 8th, 2019",8.16pm,mon,HTTP://EXAMPLE.COM/phishing_test/ROW116,"notification, share, invoice, admin",Y,,na,Y,na,B,1
